20  Ⅱ. 산림자원,,,,,,,,,,,,,,Ⅱ. Forest Resources  21,,
,,,,,,,,,,,,,,,,
3.  2020 소유별 산림면적 및 산림비율,,,,,,,,2020 Forest Area and % of Forest Area by Ownership,,,,,,,,
,,,,,,,,,,,,,,,,
단위 : ha,,,,,,,,,,,,,,Unit : ha,,
구   분,"국토면적
Land Area","합 계
Total","국          유          림
National Forest",,,,,"민          유          림
Non-national forest",,,,,"산림비율(%)
% of Forest area",Classification,,
,,,"계
Subtotal","산 림 청 소 관
Under Korea Forest Service",,,"타부처소관
Under other govt.
authorities","계
Subtotal","공     유     림
Public forest",,,"사 유 림
Private forest",,,,
,,,,"소 계
Subtotal","보전국유림
Conservation Forests","준보전국유림
Semi-Conservation Forests",,,"소 계
Subtotal","시·도유림
Provincial forest","시·군·구유림
"출처 : 산림청 산림빅데이터팀 (2020년 산림기본통계 개정판, 5년주기 공표), 국토교통부 (지적통계)",,,,,,,,"Source：Forest Big Data Team (2020 Forest Basic Statistics, Revised Edition, published on a five-year cycle), 
           Ministry of Land Infrastructure and Transport (cadastral statistics)",,,,,,,,
30  Ⅱ. 산림자원,,,,,,,,,,,,,,Ⅱ. Forest Resources  31,,
,,,,,,,,,,,,,,,,
3.  2020 소유별 산림면적 및 산림비율 (계속),,,,,,,,2020 Forest Area and % of Forest Area by Ownership (Cont'd),,,,,,,,
,,,,,,,,,,,,,,,,
단위 : ha,,,,,,,,,,,,,,Unit : ha,,
구   분,"국토면적
Land Area","합 계
Total","국          유          림
National Forest",,,,,"민          유          림
Non-national forest",,,,,"산림비율(%)
% of
Forest area",Classification,,
,,,"계
Subtotal","산 림 청 소 관
Under Korea Forest Service",,,"타부처소관
Under other govt.
authorities","계
Subtotal","공     유     림
Public forest",,,"사 유 림
Private forest",,,,
,,,,"소 계
Subtotal","보전국유림
Conservation Forests","준보전국유림
Semi-Conservation Forests",,,"소 계
Subtotal","시·도유림
Provincial forest","시·군·구유림
County forest",,,,,
삼척시,"118,781","102,169","62,665","61,978","60,154","1,824",687,"39,504","2,124",190,"1,934","37,380",86.01,Samcheok-si,,
홍천군,"182,034","148,328","87,232","82,987","82,921",66,"4,245","61,096","8,223","4,198","4,025","52,873",81.48,Hongcheon-gun,,
횡성군,"99,807","72,054","27,900","27,752","27,732",20,148,"44,154","3,534",196,"3,338","40,620",72.19,Hoengseong-gun,,
영월군,"112,732","89,690","56,315","55,553","55,391",162,762,"33,375","5,323","1,045","4,278","28,052",79.56,Yeongwol-gun,,
평창군,"146,396","119,088","69,217","68,809","65,670","3,139",408,"49,871","11,678",395,"11,283","38,193",81.35,Pyeongchang-gun,,
정선군,"121,986","99,786","63,296","63,063","63,002",61,233,"36,490","6,866","1,101","5,765","29,624",81.80,Jeongseon-gun,,
철원군,"88,969","63,894","30,692","25,911","25,881",30,"4,781","33,202","2,176",108,"2,068","31,026",71.82,Cheorwon-gun,,
화천군,"90,893","79,641","49,608","47,863","47,812",51,"1,745","30,033","7,746","5,970","1,776","22,287",87.62,Hwacheon-gun,,
양구군,"66,197","57,704","39,641","37,836","37,784",52,"1,805","18,063","2,876",98,"2,778","15,187",87.17,Yanggu-gun,,
인제군,"164,610","158,948","122,648","117,466","117,419",47,"5,182","36,300","5,297","1,267","4,030","31,003",96.56,Inje-gun,,
고성군,"66,075","51,936","35,394","33,463","33,353",110,"1,931","16,542","1,511",99,"1,412","15,031",78.60,Goseong-gun,,
양양군,"63,001","52,027","36,206","35,993","35,931",62,213,"15,821","1,472",84,"1,388","14,349",82.58,Yangyang-gun,,
충청북도 ,"740,695","488,337","103,333","94,858","93,593","1,265","8,475","385,004","79,873","25,217","54,656","305,131",65.93,Chungcheongbuk-do,,
청주시,"94,082","47,302","5,516","4,890","4,737",153,626,"41,786","1,972",914,"1,058","39,814",50.28,Cheongju-si,,
충주시,"98,359","61,131","10,262","9,388","9,290",98,874,"50,869","13,088","3,472","9,616","37,781",62.15,Chungju-si,,
제천시,"88,349","64,368","15,682","12,232","12,085",147,"3,450","48,686","18,769","6,936","11,833","29,917",72.86,Jecheon-si,,
보은군,"58,421","39,064","9,754","9,449","9,390",59,305,"29,310","3,301",323,"2,978","26,009",66.87,Boeun-gun,,
