발생일시_년,발생장소_시도,논_비율,밭_비율
2018,세종,0.5195945721900032,0.44149502124480217
2018,경기,10.21514008618803,10.161004234102911
2018,강원,4.0472639252955265,8.969723174849968
2018,충북,4.5735080234834955,8.552248724587143
2018,충남,17.37646435728725,8.634307890999905
2018,전북,15.20058663374927,9.211116587859312
2018,전남,20.607942606821982,15.550825039022834
2018,경북,14.07294451845233,19.063879954973846
2018,경남,9.711500143123597,8.306755248049107
2018,제주,0.0020096304176924706,7.895288243055947
2019,서울,0.01807376986105954,0.026242532665654072
2019,부산,0.35566337023942324,0.32705835554126167
2019,대구,0.423397709741886,0.5269446670671769
2019,인천,1.3650162562154495,0.920904896984674
2019,광주,0.6939131354345889,0.46512208531907484
2019,대전,0.16361211048809152,0.31737290626151304
2019,울산,0.6364348086844506,0.6251838357449573
2019,세종,0.512169167233944,0.44438759771946257
2019,경기,10.138223568875695,10.124927211429334
2019,강원,4.0595308433876,8.928782325975233
2019,충북,4.614508684328068,8.46797613375773
2019,충남,17.569116803854893,8.605609979543713
2019,전북,14.992884544298102,9.42300413092983
2019,전남,20.377733634899233,15.86287488062329
2019,경북,14.281283658083616,18.868173206680076
2019,경남,9.796393217898475,8.208160090574964
2019,제주,0.0020447164754287817,7.8572751631820505
2020,서울,0.01758971832545083,0.026798165084023932
2020,부산,0.3413602085384225,0.33649865434827536
2020,대구,0.42623401494272284,0.5326677116087826
2020,인천,1.3625521648925598,0.9254915717387769
2020,광주,0.694801702523325,0.45334019925778335
2020,대전,0.1560426858902865,0.3093092500531729
2020,울산,0.635771700777992,0.6251299801241154
2020,세종,0.5147494870967131,0.44725204095720644
2020,경기,10.048645919333868,9.975521818516823
2020,강원,3.9953105827062907,8.954125000321111
2020,충북,4.6086178538527545,8.491002147151212
2020,충남,17.61184774877857,8.57447727833431
2020,전북,15.006545404286445,9.468536078818678
2020,전남,20.437886124312268,15.92779248467197
2020,경북,14.314439615866448,18.813093233654108
2020,경남,9.825546686510965,8.224738941695268
2020,제주,0.002058381364921309,7.914225443664377
2021,서울,0.02509461355256062,0.055161067195668996
2021,부산,0.29186620194199564,0.360679011579557
2021,대구,0.340857258160109,0.5712996995021069
2021,인천,1.5905377178944986,0.6795038010043356
2021,광주,0.5867983938977336,0.6249186351727849
2021,대전,0.1457406453328537,0.36849224307086026
2021,울산,0.5668403726367325,0.6329206626086767
2021,세종,0.47455380670663017,0.47685650857584966
2021,경기,10.37231324169101,9.318178580330834
2021,강원,4.064157490748834,9.188572598216266
2021,충북,4.529355480476402,8.181401579353153
2021,충남,18.18523789439189,9.852919818506669
2021,전북,15.876144679479284,8.834569618473116
2021,전남,21.436505361000755,14.848138305101546
2021,경북,13.12073593559935,19.16713475411018
2021,경남,8.391528075388452,9.486627419465902
2021,제주,0.0017328311009121042,7.3526256977324955
2022,서울,0.02452950270206608,0.05617441549098487
2022,부산,0.29235354214132453,0.34070868994226167
2022,대구,0.3807110694997145,0.5267430648117678
